z,temperature,d
0.00,272.82,613.61
3.86,272.73,609.75
6.95,272.68,606.66
16.22,272.47,597.39
29.35,271.86,584.26
61.02,270.46,552.59
111.22,267.66,502.39
170.69,264.68,442.92
250.25,263.38,363.36
270.34,263.69,343.27
304.33,265.10,309.28
339.10,266.98,274.51
350.68,267.73,262.92
372.32,268.61,241.29
406.31,269.75,207.30
440.30,270.38,173.31
474.29,270.98,139.32
508.28,271.57,105.33
542.27,272.01,71.34
562.35,271.99,51.26
566.99,272.09,46.62
572.40,272.04,41.21
577.80,271.87,35.81
582.44,271.69,31.17
587.84,271.36,25.77
592.48,270.74,21.13
597.88,269.65,15.73
602.52,269.96,11.09
607.16,273.25,6.45